stars,across_uni_info
2,9.19998555567
1,10.2107402371
4,9.3104879054
3,9.2651356964
3,9.33619684191
4,9.67507234212
4,9.79217795543
4,9.47107726643
3,10.5721381506
5,9.22586345773
4,9.57130569688
5,9.94553400295
4,10.3736846931
2,9.52064603234
5,9.58659110573
5,10.9248827845
3,10.2002190953
5,9.38111221885
4,10.0172160133
4,9.28299360304
4,9.71964062838
3,9.31738650802
4,9.0846117219
5,9.65621234984
3,10.2834250655
4,9.7437748125
4,9.64742789389
3,9.76609559935
1,9.67018406743
2,10.8648301209
4,10.1854242357
4,9.22041850876
3,9.68585413038
5,11.5532042588
4,9.70464872972
5,9.90362646687
3,10.1300827987
3,9.56579840794
5,9.70935140791
5,10.3778662856
4,9.29962506197
4,10.3137362766
3,9.74079306639
1,10.165626246
4,10.3395972018
3,10.0999925589
4,10.2740316694
4,9.32059457765
4,9.45896885369
1,9.83624414842
2,9.99847507163
1,8.75015709821
1,9.25372517434
4,9.45015602836
1,10.6956378924
4,9.43154729305
4,9.28187301628
4,10.4354398885
5,9.63410786151
4,10.3777572356
2,9.26803388493
3,9.51175927632
3,9.33168581738
5,9.86659448831
3,9.42213460273
5,9.18301805504
5,9.88157256
4,9.00323466388
4,10.1805243832
5,9.21072233829
4,9.43502558944
5,9.47076486955
4,9.3131364166
5,9.99885521051
5,10.189046941
3,10.1259574404
4,9.3589771815
4,8.93201866996
5,9.64999282466
3,9.41145073948
4,9.97818688617
4,9.69014882085
5,9.96888050584
4,10.1743043266
5,9.6535767786
5,10.3755491983
4,10.121740154
5,9.49440665157
4,10.2534181569
4,9.66627222789
4,9.91510538086
4,9.14161118661
4,10.0144271169
3,9.31558119695
3,9.38453910431
2,9.10771645642
5,9.47755156945
4,9.39489832523
3,9.87666774121
5,9.87778121421
4,9.09587691614
5,9.39477757982
5,10.5408177972
1,9.92097013728
4,9.04570928606
5,9.34168506649
5,10.1714019548
4,9.96442544306
4,9.52479261672
4,9.17145492302
1,10.1589465157
4,9.63656896063
1,9.4653146386
1,9.50907779962
3,10.5590607486
4,10.2246412494
5,10.5501058146
4,9.02279360298
5,9.42938616842
1,9.41604400155
5,10.5379723281
5,9.7278964301
5,9.39175155758
4,9.78008118772
2,9.45068715523
5,9.64783683168
1,9.36580220617
2,9.30020788524
4,10.4116807378
1,9.97878878151
2,10.2860062882
5,9.68684639242
2,9.78696807955
4,11.1898692928
4,9.00161770814
5,9.89262862417
1,9.78309555942
2,9.66990307337
4,9.14314528482
5,9.86901515651
4,10.1990567232
4,10.0158049894
5,9.07746784566
2,9.73403156398
3,9.32993789551
4,9.31981703693
1,9.92392477717
4,9.72240821951
2,10.5872727068
3,9.64438834663
3,8.94216723793
2,9.5787435499
5,10.0911069953
5,10.5695582856
3,9.58039498842
3,9.88971371611
3,9.56683969743
5,9.77790489804
5,9.49520580608
4,9.7392940042
3,10.2360702607
2,9.08106990235
4,9.2913932166
4,9.8083662203
2,9.28292203901
3,9.41696887734
2,9.68762125868
4,9.40718673526
4,9.28950756085
4,9.7160253058
2,9.79644866064
5,9.48907929929
4,9.86419126827
3,8.74848143814
3,9.57777755822
5,9.20505112018
1,9.51769466849
2,9.72096910062
4,9.59941286966
5,10.4409191744
4,10.3319333329
4,9.83299910124
3,9.29641174155
5,9.92374164007
4,9.66240113713
1,9.55877488745
5,9.59085725788
4,9.25579774424
3,11.1467968302
4,9.22046074857
3,9.88570473942
5,10.5965034483
1,9.2252134796
5,9.4957700647
4,9.70895931312
5,10.5487248389
1,9.34835930926
2,9.76297820683
1,9.05839454346
5,9.69448612544
3,10.5352849747
5,9.71808305053
4,10.4865267479
5,10.1159199992
4,9.96025727399
5,11.1432853555
1,9.93591470734
3,9.68302159911
3,9.75429193606
3,10.5564292388
1,8.75304164529
5,9.88803795109
3,9.46225411605
5,9.5754342704
5,9.67672527496
5,10.0883535686
3,9.02459833492
5,9.75031917659
3,9.4131373202
4,10.3396224019
4,9.68877246672
3,9.30230357616
4,9.56978207424
5,9.14504536635
4,9.52543926062
5,9.57961157471
1,10.0066659628
2,10.4501696579
3,9.92838592531
3,9.0221238746
5,9.97058148959
3,9.5467869703
1,9.76397375707
4,10.5841162089
1,9.2897357037
4,9.81117698619
3,9.73661683826
4,9.21471675253
3,9.45781276554
3,9.89960323768
2,9.63732064588
5,9.42424293478
3,9.82882765787
4,10.5783143223
5,9.56370588438
4,9.46282216666
4,9.43245858469
4,9.80623289565
4,9.62269648667
4,9.19603965985
2,10.2798489374
3,9.51736213059
4,10.6729214107
4,10.3619074207
4,10.6994089188
4,9.57765214077
4,9.20523060721
4,9.74846187693
4,10.3129886696
3,9.88893031816
4,9.5005146152
4,9.55837551507
4,10.4393080765
3,8.91446043729
3,9.56331980425
3,9.4742818816
4,9.48852116695
5,10.0799140689
5,9.68811672688
5,9.86399284382
4,10.3183778857
5,9.89921752684
4,8.83995640764
3,10.3696106107
4,9.57625188283
4,8.98097092003
2,11.081993879
5,9.95174347077
5,9.42399090907
5,10.4691233421
4,9.63087091306
5,9.24238619951
1,10.0640112851
3,9.45925508361
3,10.1924906559
3,9.04488677485
2,9.61778068557
4,9.49914447937
4,9.47911954557
3,10.0443264444
4,9.34788215293
5,10.3510060114
5,9.56210312787
4,9.30655500247
4,9.68457001394
4,9.92479701271
5,8.74995028159
3,9.39628660928
4,9.3513973779
2,10.366407027
4,9.33138718233
3,9.9086768949
5,9.68474800264
4,9.52204276232
5,9.4677419537
4,9.50589030905
4,10.0364619399
1,9.12644412277
4,9.76195221898
2,10.4642249201
1,9.36060326998
4,10.5721840648
5,9.74774867582
2,9.94246620518
4,10.0479061051
5,9.96269746875
4,9.02439218825
4,10.5113681493
3,9.80815174521
5,10.0628933956
5,9.85986485362
2,9.96001760067
5,9.01401377586
5,10.034555171
4,9.48651235495
5,9.71693233222
5,10.5913563529
4,9.59018939346
3,9.80140289303
3,10.1672557458
4,9.71234805951
5,10.1047195143
3,9.39914858895
2,9.45636927635
5,10.0031770943
3,8.62457557542
5,9.40741147793
5,8.99915815707
5,9.67466939088
5,9.84303424514
4,9.05465753369
4,9.21291097341
4,10.0640394257
3,9.55248209938
4,10.3814063633
4,9.86263945752
3,9.31573893405
4,9.4948850028
5,9.96849692444
4,9.92989815404
4,9.6526652108
5,9.59499449602
5,9.93674942543
4,9.23548419256
4,10.0964300491
5,9.88732247831
3,9.50709279825
2,9.30416043433
2,9.73429495643
3,10.7969480803
5,10.2902953339
4,9.9348256234
1,9.76175976811
5,10.6549457393
5,9.86999644679
1,9.46847063697
4,9.25617605539
5,9.88482490514
3,10.5294790086
2,9.52492555776
3,9.31848316583
5,9.92460618293
3,10.1094577268
5,10.1043666541
3,9.87279872523
4,9.79169092535
2,9.54092675328
4,9.44420898171
4,9.54378149201
3,9.09761112038
1,9.59336298551
5,9.65237511103
2,9.37644455224
4,9.93846802696
5,9.44974210601
5,10.3230660466
4,9.49112063304
4,9.38987349753
4,9.05115521311
2,9.34770550488
5,9.5796818673
5,9.86200737375
1,9.73491477179
3,9.69075373104
4,9.67786004564
4,10.3733624125
2,9.31406828599
4,9.67483856188
2,9.84403977052
5,9.95862701266
5,9.90689137883
1,9.37072542638
4,9.58447692105
5,9.16568316008
4,9.29589940959
3,10.7021205547
4,9.91436813961
2,9.76129960962
1,9.67691261305
5,9.8576008137
1,10.0002163386
3,9.25666950771
4,9.45598771736
4,9.76395306464
3,9.55881257633
5,9.56194864142
3,10.0350509074
3,9.40033513667
4,10.2012505454
4,9.84790279779
5,9.95915928901
4,10.6312420819
5,9.18804264885
5,9.98965233704
4,10.1321142766
2,9.75099195755
2,9.86423417537
4,9.15068710435
4,10.0954845151
4,10.2351855778
4,9.40725995669
3,10.3179935172
4,10.2527492836
1,9.44625071675
1,9.44196412823
4,9.17171374397
4,9.28615246541
3,9.59563708196
4,9.08486435445
5,9.6454728428
4,9.79834885647
1,9.52117566702
3,9.06350054063
2,9.42614656057
1,10.072043405
4,9.86687536707
5,9.30023525566
5,9.97626174645
1,9.73092655321
5,9.78574419096
5,10.1414815764
4,9.01568478137
4,9.26900423148
4,11.0019492562
5,9.89249771873
3,9.48920258533
5,9.53686531169
4,9.17186486857
4,9.43022645103
2,9.83238733006
2,10.672836107
3,10.1889360292
4,9.90109903397
5,9.82385547342
5,9.64745080389
4,9.42059728979
4,9.17286746739
4,9.48899235464
4,10.4438940683
4,9.91291403922
3,9.38128658691
3,9.66632301187
4,9.45612495398
4,9.26034578808
4,9.9058983703
4,9.75350877605
4,10.2892676381
3,9.25989094486
4,10.0377714002
3,9.16738451156
5,9.03957567481
3,9.72860067554
4,8.91736105122
3,9.88289073735
5,9.98326506329
5,9.66305704252
4,9.36471123419
4,9.26642332993
2,9.66787977982
3,8.87675000973
3,9.12666047577
2,9.36796388552
5,10.4941787977
4,9.40466419651
4,10.0282736629
4,9.52737919069
4,9.43085165666
5,9.47212362256
5,10.2786864578
5,10.9404383994
1,9.05652565635
1,9.37764022673
5,9.70945954202
3,9.3086468664
4,9.04780274194
5,9.53597654897
5,9.52505169385
4,9.95906771932
1,9.7722789041
5,10.5015590224
4,9.14268877913
5,9.76014157308
5,9.56255355051
2,9.46136927843
4,9.93408549824
2,9.53864143235
1,9.88818123853
5,10.1572948941
4,10.016795791
4,9.70867910214
4,9.55174936926
3,9.88320080289
4,10.2848269146
4,10.0104014586
4,9.33733746021
5,11.0446719535
4,9.67775460198
3,9.13499098021
4,9.50231118988
5,9.31681632657
5,10.4125764998
4,9.76290317377
5,9.8506993559
4,9.34893806471
3,10.1075603781
5,9.56161847768
2,10.180544106
3,10.2239691608
4,10.3724384256
4,9.95822175834
4,10.2235308039
4,9.67605199152
5,12.083833758900001
5,9.49969888428
5,10.5819652551
5,9.96467590375
5,9.9095505879
4,9.76900786385
2,9.88716341138
2,9.28964964422
1,8.9525019615
5,10.3372969383
5,9.70253142069
4,9.55094833518
1,9.67563900495
5,10.6382689809
5,9.39379859584
5,9.42071618651
1,10.229462131
3,9.20512097997
1,9.81076417505
5,9.20570383219
5,9.89103197358
4,9.60879565138
5,10.1479338472
4,9.4928049198
2,9.11350407126
4,9.22804448185
3,9.43566344807
3,9.11473847101
5,9.51555840735
2,9.31410902487
5,9.3693000337
4,8.95640859878
1,9.64002257061
2,10.2697370582
4,9.08506954217
2,9.89712723492
5,9.28764083867
4,9.7407376406
5,9.45292108349
1,9.79861224277
5,9.59283238983
4,9.71814793592
1,9.7331721483
4,10.1339379565
5,9.90801225944
1,10.2777616712
2,9.54186150982
3,9.97023673751
5,9.54289579208
4,10.8737111443
5,9.19269347865
4,9.36139208401
3,9.54998519303
3,9.15383151858
5,9.16149211377
5,9.41817263555
1,9.52860711859
2,9.84299884587
1,9.1847777946
1,10.6376029481
2,9.37019889014
4,9.20685095777
2,10.2544375018
4,10.2784305607
2,9.49954103871
3,9.4427175388
3,9.01393428317
4,9.04713756119
3,9.61774378077
5,10.2279532284
1,10.079884245
4,9.81624734288
5,9.41946621175
3,10.147544728
3,9.60213487492
2,9.25768598453
4,9.64141123607
5,9.54651052966
4,9.59174905528
3,9.18649283701
4,9.59716795476
5,9.94600781794
4,10.5630843582
5,9.74026208033
4,9.60376858947
5,9.93309125954
5,9.77390868389
2,9.7524771707
5,10.0468535798
5,10.4628036516
5,9.65447319757
4,9.76867823002
4,9.73880888606
1,10.332212018
5,10.690630662
4,9.45076188877
4,10.4026750673
5,10.1285068033
3,9.8257775284
3,9.24304577837
4,9.6969722142
4,9.94896448266
4,10.2134489752
4,8.82722434006
4,9.5278413813
4,9.03933336804
5,9.94250565627
5,9.31811321452
1,10.4235571202
1,9.49127291555
5,9.27944948136
4,9.79930359849
4,9.7586687961
4,9.31459831891
5,8.95821959901
4,10.0072281307
2,9.32938230289
4,10.2391203658
5,10.0908929033
4,10.5424143417
4,9.97958285287
5,10.0335605919
