"index_curve","pinkie_curl","question_order","confidence","choice"
4,8,"height_first",9,"height"
2,3,"shape_first",7,"height"
2,6,"height_first",5,"height"
5,4,"height_first",6,"height"
6,1,"height_first",8,"shape"
4,5,"shape_first",7,"shape"
6,6,"height_first",5,"height"
1,3,"shape_first",6,"height"
2,2,"shape_first",8,"height"
2,1,"shape_first",7,"height"
4,7,"height_first",7,"height"
5,6,"shape_first",5,"shape"
2,3,"shape_first",8,"shape"
3,1,"height_first",6,"shape"
6,2,"shape_first",8,"shape"
2,2,"height_first",9,"height"
4,1,"height_first",3,"height"
5,3,"shape_first",9,"height"
3,4,"shape_first",9,"shape"
5,6,"height_first",8,"shape"
2,3,"height_first",8,"shape"
3,5,"height_first",7,"shape"
3,1,"height_first",7,"height"
3,2,"shape_first",7,"shape"
5,6,"shape_first",5,"shape"
2,5,"height_first",6,"shape"
1,6,"height_first",7,"shape"
1,9,"shape_first",8,"height"
1,7,"shape_first",7,"height"
4,3,"height_first",7,"height"
4,8,"height_first",6,"shape"
5,6,"height_first",6,"shape"
5,4,"shape_first",7,"shape"
2,8,"height_first",8,"height"
2,9,"height_first",9,"height"
2,4,"shape_first",5,"shape"
6,1,"height_first",5,"shape"
4,7,"height_first",7,"height"
4,9,"shape_first",7,"height"
1,3,"shape_first",9,"height"
5,6,"shape_first",7,"height"
6,1,"height_first",5,"shape"
1,4,"shape_first",7,"height"
4,3,"shape_first",6,"shape"
4,5,"height_first",6,"shape"
2,7,"shape_first",8,"shape"
2,5,"height_first",8,"shape"
2,9,"height_first",5,"height"
5,5,"shape_first",7,"height"
4,4,"height_first",6,"shape"
4,4,"shape_first",3,"shape"
5,1,"height_first",8,"shape"
2,2,"height_first",9,"height"
5,6,"height_first",9,"shape"
5,8,"height_first",8,"height"
5,4,"height_first",7,"shape"
1,5,"height_first",6,"height"
4,3,"height_first",6,"height"
4,9,"height_first",9,"height"
4,6,"height_first",9,"shape"
1,6,"height_first",6,"shape"
6,5,"shape_first",7,"shape"
3,4,"height_first",9,"shape"
2,2,"shape_first",8,"shape"
6,7,"height_first",9,"shape"
6,6,"shape_first",7,"shape"
2,9,"shape_first",8,"shape"
