"subject","Details","Distance"
"S313","Yes","near"
"S314","Yes","near"
"S315","No","far"
"S316","Yes","near"
"S317","Yes","near"
"S318","No","far"
"S319","Yes","far"
"S320","Yes","near"
"S321","Yes","near"
"S322","Yes","far"
"S323","Yes","near"
"S324","Yes","near"
"S325","No","near"
"S326","Yes","far"
"S327","No","near"
"S328","No","far"
"S329","Yes","near"
"S330","Yes","far"
"S331","Yes","near"
"S332","No","far"
"S333","No","far"
"S334","No","far"
"S335","Yes","far"
"S336","No","near"
"S337","Yes","near"
"S338","Yes","far"
"S339","No","near"
"S340","Yes","far"
"S341","Yes","near"
"S342","Yes","near"
"S343","Yes","near"
"S344","Yes","near"
"S345","Yes","far"
"S346","Yes","far"
"S347","Yes","far"
"S348","No","far"
"S349","Yes","far"
"S350","No","near"
"S351","Yes","far"
"S352","Yes","far"
"S353","Yes","near"
"S354","No","far"
"S355","Yes","near"
"S356","Yes","near"
"S357","No","far"
"S358","No","near"
"S359","Yes","near"
"S360","Yes","near"
"S361","No","far"
"S362","No","far"
"S363","Yes","near"
"S364","No","near"
"S365","Yes","near"
"S366","Yes","near"
"S367","No","near"
"S368","Yes","far"
"S369","Yes","far"
"S370","Yes","near"
"S371","Yes","near"
"S372","Yes","near"
"S373","Yes","near"
"S374","Yes","far"
"S375","Yes","far"
"S376","Yes","far"
"S377","Yes","near"
"S378","Yes","near"
"S379","Yes","far"
"S380","Yes","far"
"S381","Yes","far"
"S382","Yes","near"
"S383","Yes","far"
"S384","Yes","far"
"S385","Yes","far"
"S386","No","far"
"S387","No","far"
"S388","No","far"
"S389","Yes","far"
"S390","Yes","near"
"S391","Yes","near"
"S392","Yes","far"
"S393","No","far"
"S394","Yes","near"
"S395","No","far"
"S396","Yes","near"
"S397","No","near"
"S398","Yes","near"
