word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
bordo	10264	-5.11	6	6	691	114	0	0	0	5
olímpico	10262	-9.66	0	0	473	28	0	0	0	8
pelea	10262	-6.01	2	4	1810	287	0	0	0	5
aceite	10255	-8.29	0	1	1894	201	0	0	0	6
cero	10250	-4.58	18	27	2537	140	0	0	0	4
construcciones	10250	-9.91	0	0	2537	1146	0	0	0	14
tribus	10250	-6.3	0	1	880	258	0	0	0	6
desaparición	10248	-9.32	0	0	1263	619	0	0	0	12
encontrarse	10248	-10.36	0	0	1421	237	0	0	0	11
turquía	10248	-7.21	0	0	880	47	0	0	0	7
aceptó	10239	-6.83	2	2	1894	201	0	0	0	6
lateral	10235	-7.84	2	2	673	119	0	0	0	7
united	10232	-9.01	0	0	177	55	0	0	0	6
muro	10229	-5.15	12	14	1238	102	0	0	0	4
intentos	10226	-5.68	0	1	818	551	0	0	0	8
cincuenta	10223	-9.95	0	0	2537	116	0	0	0	9
enlace	10221	-8.04	0	1	1421	237	0	0	0	6
indígena	10207	-8.34	0	0	818	551	0	0	0	8
ganadería	10203	-8.71	0	0	571	120	0	0	0	9
grand	10198	-5.64	6	8	571	116	0	0	0	5
sr	10198	-4.63	64	72	1300	3	3	3	3	2
utilización	10197	-8.63	0	0	177	21	0	0	0	11
variedades	10195	-10.54	0	0	605	110	0	0	0	10
pleno	10193	-6.09	6	6	1810	91	0	0	0	5
aéreo	10193	-7.23	2	3	1894	4	0	0	0	5
comentarios	10191	-7.63	0	0	2537	1146	0	0	0	11
conocen	10190	-6.78	2	3	2537	1146	0	0	0	7
fox	10190	-5.21	6	7	756	104	0	0	0	3
ford	10189	-4.6	14	15	756	104	0	0	0	4
originaria	10178	-10.13	0	0	473	123	0	0	0	10
localiza	10178	-7.89	0	0	673	91	0	0	0	8
pilotos	10176	-7.75	0	1	1810	110	0	0	0	7
batallón	10173	-8.69	0	0	691	202	0	0	0	8
organizó	10173	-8.81	0	0	473	123	0	0	0	8
mitología	10168	-8.1	0	0	1238	160	0	0	0	9
patria	10167	-5.72	0	0	1810	362	0	0	0	6
tienda	10165	-6.31	2	3	880	62	0	0	0	6
integración	10163	-7.73	0	0	818	551	0	0	0	11
