word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
aipaturiko	569	-9.28	0	0	2248	92	0	0	0	10
erre	568	-3.88	10	16	2102	647	0	0	0	4
irauten	568	-6.93	2	2	1136	199	0	0	0	7
tour	568	-6.01	8	10	715	93	0	0	0	4
ardenak	568	-6.87	2	2	2248	475	0	0	0	7
estropada	567	-9.19	0	0	2102	383	0	0	0	9
negu	567	-6.03	0	1	460	100	0	0	0	4
hosto	567	-6.29	0	0	1177	201	0	0	0	5
ahotsa	567	-7.28	0	2	2248	56	0	0	0	6
sarthe	567	-7.5	0	0	929	272	0	0	0	6
estaltzen	567	-6.47	0	0	2102	383	0	0	0	9
badirudi	567	-8.59	0	0	1694	559	0	0	0	8
base	567	-5.14	10	13	1694	559	0	0	0	4
igotzen	567	-6.31	2	3	1136	40	0	0	0	7
katalanez	566	-9.55	0	0	993	292	0	0	0	9
aipatzekoa	566	-8.78	0	0	2248	92	0	0	0	10
eskolako	566	-7.1	0	1	2102	383	0	0	0	8
mendirik	566	-7.39	0	0	1153	257	0	0	0	8
ezberdinen	566	-8.95	0	0	2102	150	0	0	0	10
nagusien	566	-7.87	0	0	460	192	0	0	0	8
huts	566	-6.17	2	4	1177	53	0	0	0	4
mendilerroan	566	-11.75	0	0	1153	257	0	0	0	12
maiatzean	565	-8.03	0	0	1153	365	0	0	0	9
zibilaren	564	-7.82	0	0	731	186	0	0	0	9
konpainiak	564	-9.11	0	0	993	447	0	0	0	10
harana	564	-5.82	4	7	1177	388	0	0	0	6
bero	564	-4.39	14	18	1694	442	0	0	0	4
kontzejua	563	-8.11	0	0	993	447	0	0	0	9
bufonidae	563	-9.65	0	0	1694	122	0	0	0	9
gaia	562	-4.04	20	29	1179	409	0	0	0	4
ta	562	-3.12	52	61	715	92	92	92	92	2
gizaki	562	-7.48	2	4	1179	95	0	0	0	6
baionako	562	-7.08	0	0	1694	559	0	0	0	8
arreba	561	-6.94	4	6	2248	475	0	0	0	6
komuna	561	-5.99	0	2	993	447	0	0	0	6
ezinezkoa	560	-8.43	0	0	2102	150	0	0	0	9
gurasoak	559	-8.15	0	0	1179	137	0	0	0	8
you	559	-5.22	4	7	26	11	0	0	0	3
ekoizpena	559	-9.69	0	0	2102	107	0	0	0	9
osorik	559	-6.27	2	2	650	98	0	0	0	6
uztailean	558	-9.25	0	0	383	14	0	0	0	9
ekialdetik	558	-9.17	0	0	2102	107	0	0	0	10
kontzeptua	558	-9.72	0	0	993	447	0	0	0	10
substantzia	558	-10.6	0	0	929	116	0	0	0	11
maine	558	-5.43	4	6	1153	365	0	0	0	5
itsasontzi	557	-10.19	0	0	1136	124	0	0	0	10
kimika	557	-7.69	2	4	993	57	0	0	0	6
arau	557	-5.77	6	8	2248	475	0	0	0	4
loturik	557	-7.67	2	3	895	110	0	0	0	7
klase	557	-6.94	0	1	993	36	0	0	0	5
gipuzkoan	557	-9.46	0	0	1179	95	0	0	0	9
litoria	557	-7.1	2	2	895	139	0	0	0	7
erakundearen	556	-9.71	0	0	2102	647	0	0	0	12
hamabost	556	-10.36	0	0	1177	388	0	0	0	8
zahar	556	-5.84	2	2	731	163	0	0	0	5
kokatutakoa	555	-9.3	0	0	993	447	0	0	0	11
armadako	555	-7.61	0	1	2248	475	0	0	0	8
pertsonen	555	-8.88	0	0	1002	116	0	0	0	9
bao	555	-4.31	22	25	1694	559	0	0	0	3
aurkezten	555	-8.68	0	0	2248	186	0	0	0	9
jadanik	554	-8.41	0	0	455	259	0	0	0	7
handian	554	-6.33	4	6	1177	388	0	0	0	7
espero	554	-6.04	0	0	2102	383	0	0	0	6
bilatzen	554	-5.93	0	1	1694	351	0	0	0	8
murinae	554	-8.34	2	3	1153	174	0	0	0	7
garailea	554	-6.98	0	1	1179	409	0	0	0	8
beltzak	554	-5.91	2	4	1694	442	0	0	0	7
erbesteratu	554	-9.33	0	0	2102	647	0	0	0	11
izugarrizko	553	-10.3	0	0	1136	118	0	0	0	11
ibn	553	-5.06	6	11	1136	60	0	0	0	3
botoak	553	-6.14	0	1	1694	141	0	0	0	6
ondarea	552	-6.9	0	1	650	91	0	0	0	7
eginak	552	-4.92	4	5	2102	172	0	0	0	6
zehaztu	552	-7.63	0	1	731	234	0	0	0	7
bizitzan	551	-6.93	0	1	1694	351	0	0	0	8
amaren	551	-4.65	0	0	2248	92	0	0	0	6
hazkunde	551	-8.5	0	0	1177	388	0	0	0	8
kode	550	-5.97	2	4	993	447	0	0	0	4
duelako	550	-6.97	2	4	780	58	0	0	0	7
eskualdeak	550	-7.97	0	0	2102	383	0	0	0	10
barrutietako	550	-10.63	0	0	1694	559	0	0	0	12
komunista	550	-8.52	0	0	993	447	0	0	0	9
alberto	550	-8.53	0	1	2248	312	0	0	0	7
antzekoak	549	-6.32	0	0	2248	212	0	0	0	9
libre	548	-6.66	4	5	895	139	0	0	0	5
alderdiak	548	-7.09	0	0	2248	312	0	0	0	9
ibaian	548	-6.49	4	5	1136	60	0	0	0	6
murriztu	548	-8.39	0	0	1153	174	0	0	0	8
organo	547	-8.08	0	1	650	161	0	0	0	6
istorio	547	-7.27	0	1	1136	60	0	0	0	7
allier	547	-7.92	0	0	2248	312	0	0	0	6
oinarriak	546	-7.86	0	0	650	49	0	0	0	9
batasun	546	-6.67	0	1	1694	559	0	0	0	7
daukate	545	-8.37	0	2	780	136	0	0	0	7
kontzeptu	545	-9.17	0	0	993	447	0	0	0	9
legearen	545	-7.73	0	0	895	224	0	0	0	8
berrian	545	-5.17	6	7	1694	442	0	0	0	7
karga	544	-5.96	4	6	993	292	0	0	0	5
villers	544	-8.14	2	3	159	69	0	0	0	7
bihurtuz	544	-8.04	0	1	1694	351	0	0	0	8
aldizkarian	544	-9.21	0	0	2248	312	0	0	0	11
egutegi	543	-7.74	0	1	2102	172	0	0	0	7
nahikoa	543	-7.5	0	2	460	192	0	0	0	7
azaroan	543	-8.09	2	3	2248	103	0	0	0	7
egunetan	543	-6.41	0	2	2102	172	0	0	0	8
abian	543	-5.3	6	6	2248	111	0	0	0	5
areagotu	543	-8.65	0	0	2248	475	0	0	0	8
edizio	543	-5.9	0	1	2102	56	0	0	0	6
elkartearen	542	-8.9	0	0	2102	137	0	0	0	11
wilhelm	542	-11.3	0	0	77	17	0	0	0	7
petri	541	-6.18	0	0	1002	116	0	0	0	5
pare	541	-4.29	20	24	1002	222	0	0	0	4
hiriburuan	541	-9.05	0	0	1177	238	0	0	0	10
fitxategi	541	-10.48	0	0	478	112	0	0	0	9
cyrtodactylus	540	-14.13	0	0	333	8	0	0	0	13
faktore	540	-8.58	0	2	478	78	0	0	0	7
salamancako	540	-11.87	0	0	929	272	0	0	0	11
askatu	540	-5.43	4	6	2248	122	0	0	0	6
berlin	539	-6.18	2	2	1694	442	0	0	0	6
medikuntza	539	-9.1	0	0	1153	257	0	0	0	10
gauzatu	539	-7.52	0	0	1179	409	0	0	0	7
dugun	539	-6.6	0	2	780	58	0	0	0	5
menderatu	539	-7.38	0	0	1153	257	0	0	0	9
zihoan	539	-7.7	0	0	731	186	0	0	0	6
tradizio	538	-7.76	0	0	715	137	0	0	0	8
definitzen	538	-8.79	0	0	780	237	0	0	0	10
ezagunagoa	538	-9.6	0	0	2102	150	0	0	0	10
ote	538	-4.54	10	12	650	29	0	0	0	3
france	537	-6.68	4	6	478	106	0	0	0	6
momentu	536	-7.51	2	3	1153	183	0	0	0	7
ekitaldi	536	-8.17	0	0	2102	107	0	0	0	8
erraldoi	536	-8.3	0	0	2102	647	0	0	0	8
eleutherodactylus	535	-18.31	0	0	2102	137	0	0	0	17
parean	535	-5.11	4	6	1002	222	0	0	0	6
hitzarmena	535	-8.94	0	0	1177	238	0	0	0	10
tan	535	-3.4	40	47	715	92	0	0	0	3
eutsi	535	-6.76	0	1	2102	83	0	0	0	5
zatian	534	-6.41	2	4	731	163	0	0	0	6
gertakari	534	-8.98	0	0	1179	219	0	0	0	9
dagoenean	534	-8.86	0	0	780	136	0	0	0	9
berrien	534	-5.17	10	11	1694	442	0	0	0	7
zezan	534	-5.86	4	5	731	234	0	0	0	5
gotorlekua	533	-11.17	0	0	1179	207	0	0	0	10
mailatik	533	-7.19	0	0	1153	365	0	0	0	8
londresen	532	-9.74	0	0	895	110	0	0	0	9
lehenengoa	532	-10.39	0	0	895	224	0	0	0	10
buruzagia	532	-8.98	0	0	1694	122	0	0	0	9
