word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
genome	12653	-7.63	0	1	626	94	0	0	0	6
ps	12652	-3.28	72	86	1506	19	19	19	19	2
cease	12642	-6.78	4	7	1993	76	0	0	0	5
crafts	12641	-6.12	2	3	1993	144	0	0	0	6
robbery	12639	-7.46	2	2	1209	164	0	0	0	7
cameroon	12638	-9.27	0	1	1993	330	0	0	0	8
sunderland	12635	-10.11	0	0	2051	272	0	0	0	10
gustav	12634	-9.21	0	1	626	82	0	0	0	6
pagan	12633	-6.23	0	0	1506	291	0	0	0	5
recipients	12632	-9.61	0	0	1209	698	0	0	0	10
constraints	12629	-8.48	0	0	1993	876	0	0	0	11
interpretations	12629	-12.67	0	0	747	469	0	0	0	15
barton	12628	-5.93	4	6	1130	267	0	0	0	6
garcía	12619	-7.08	2	2	626	108	0	0	0	6
accurately	12617	-9.19	0	0	1427	133	0	0	0	10
clouds	12616	-8.02	0	1	1993	136	0	0	0	6
rage	12615	-4.42	20	24	1209	157	0	0	0	4
petty	12615	-5.77	4	5	1506	180	0	0	0	5
sen	12614	-3.89	46	54	2051	247	0	0	0	3
feminine	12612	-9.03	0	0	845	93	0	0	0	8
economically	12611	-11.56	0	0	905	26	0	0	0	12
lacks	12610	-5.06	8	10	716	172	0	0	0	5
fungi	12608	-8.01	0	0	845	62	0	0	0	5
consort	12607	-6.45	0	0	1993	876	0	0	0	7
solved	12606	-6.05	0	1	2051	140	0	0	0	6
coordinated	12604	-9.92	0	0	1993	876	0	0	0	11
tolerance	12603	-9.65	0	0	953	133	0	0	0	9
minorities	12599	-10.13	0	0	1197	180	0	0	0	10
chiefly	12594	-8.21	0	0	1993	243	0	0	0	7
augusta	12592	-8.33	2	3	1427	74	0	0	0	7
thumb	12591	-6.64	0	0	953	136	0	0	0	5
teens	12586	-5.96	0	3	953	155	0	0	0	5
woody	12584	-5.03	4	5	537	71	0	0	0	5
outfit	12584	-8.0	0	1	452	47	0	0	0	6
alfonso	12583	-10.53	0	1	1427	150	0	0	0	7
mormon	12582	-5.88	2	2	1197	231	0	0	0	6
ink	12581	-4.31	10	17	747	469	0	0	0	3
floods	12581	-6.29	2	4	845	100	0	0	0	6
delays	12576	-6.56	2	3	1141	409	0	0	0	6
nineteen	12576	-9.72	0	0	475	59	0	0	0	8
leopold	12576	-8.65	0	0	716	146	0	0	0	7
incarnation	12575	-9.76	0	0	747	469	0	0	0	11
yan	12574	-4.33	44	49	78	16	0	0	0	3
sinclair	12572	-9.41	0	0	2051	147	0	0	0	8
agnes	12571	-5.82	0	1	1427	31	0	0	0	5
comparing	12569	-6.36	0	0	1993	876	0	0	0	9
tributaries	12569	-10.59	0	0	953	241	0	0	0	11
eighty	12568	-6.43	4	5	905	11	0	0	0	6
maybe	12566	-7.29	0	0	1197	426	0	0	0	5
defeats	12564	-7.27	2	3	1141	409	0	0	0	7
porto	12564	-6.09	4	5	1506	199	0	0	0	5
oversaw	12564	-8.35	0	0	452	37	0	0	0	7
malayalam	12562	-11.03	0	0	1197	426	0	0	0	9
prone	12561	-4.85	10	10	1506	440	0	0	0	5
trout	12560	-5.48	0	0	953	241	0	0	0	5
hereditary	12560	-10.45	0	0	713	154	0	0	0	10
aria	12558	-4.67	6	10	1427	163	0	0	0	4
helmet	12557	-7.57	2	3	713	154	0	0	0	6
onset	12551	-7.17	0	0	452	18	0	0	0	5
neighbours	12549	-9.44	0	0	475	120	0	0	0	10
paraguay	12547	-8.78	0	0	1506	291	0	0	0	8
weber	12547	-5.74	0	1	537	103	0	0	0	5
renault	12546	-8.35	0	0	1209	698	0	0	0	7
individually	12540	-11.88	0	0	747	469	0	0	0	12
ricky	12536	-6.13	8	9	1209	87	0	0	0	5
hammond	12533	-7.79	0	0	713	211	0	0	0	7
undergoing	12533	-9.59	0	0	281	155	0	0	0	10
offspring	12532	-9.0	0	0	452	28	0	0	0	9
westward	12530	-8.89	0	0	537	103	0	0	0	8
