word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
rokan	808	-5.04	8	8	707	101	0	0	0	5
wijaya	808	-5.66	0	0	311	73	0	0	0	6
nba	808	-5.94	14	16	424	2	0	0	0	3
hamil	808	-5.84	10	10	574	197	0	0	0	5
dugaan	808	-7.08	0	0	1545	54	0	0	0	6
hidung	807	-6.28	6	6	574	90	0	0	0	6
pastor	807	-6.34	4	4	2240	359	0	0	0	6
perjalanannya	807	-9.73	0	0	2240	1205	0	0	0	13
been	806	-5.64	8	10	1627	752	0	0	0	4
lingkup	806	-7.56	0	0	646	123	0	0	0	7
pendidikannya	806	-9.24	0	0	2240	1205	0	0	0	13
utc	806	-6.0	6	9	234	19	0	0	0	3
sctv	805	-6.22	2	3	1798	30	0	0	0	4
bertahap	805	-7.7	0	0	1627	752	0	0	0	8
dituturkan	805	-8.65	0	0	1545	1013	0	0	0	10
science	805	-8.61	0	1	1798	30	0	0	0	7
pembuka	805	-6.02	2	3	2240	1205	0	0	0	7
konservatif	805	-11.24	0	0	1667	282	0	0	0	11
slamet	805	-8.03	0	0	1798	17	0	0	0	6
ceo	804	-5.65	14	18	699	70	0	0	0	3
virginia	804	-10.25	0	0	172	51	0	0	0	8
sin	804	-3.83	60	74	1798	232	0	0	0	3
luasnya	803	-6.73	2	2	646	72	0	0	0	7
resi	803	-4.03	14	18	707	219	0	0	0	4
intel	803	-6.16	2	2	443	187	0	0	0	5
states	803	-7.61	6	7	1798	126	0	0	0	6
taylor	802	-8.81	0	0	1272	243	0	0	0	6
finalis	802	-7.39	0	1	388	81	0	0	0	7
ibukotanya	802	-10.58	0	0	443	16	0	0	0	10
meningkatnya	802	-8.7	0	0	2321	1359	0	0	0	12
berlatih	802	-7.84	0	0	1627	752	0	0	0	8
ss	802	-4.38	92	107	1798	3	3	3	3	2
sedemikian	802	-10.4	0	0	1798	509	0	0	0	10
fernando	802	-9.25	0	0	388	43	0	0	0	8
indian	802	-5.84	2	4	443	187	0	0	0	6
keseimbangan	801	-10.84	0	0	1667	655	0	0	0	12
youtube	801	-10.4	0	0	137	36	0	0	0	7
mukim	801	-6.29	2	2	2321	131	0	0	0	5
muridnya	800	-8.46	0	0	2321	131	0	0	0	8
ditingkatkan	800	-9.12	0	0	1545	1013	0	0	0	12
box	800	-4.64	22	24	1627	114	0	0	0	3
venezuela	800	-11.78	0	0	172	40	0	0	0	9
tentunya	800	-6.84	0	0	1272	506	0	0	0	8
bermaksud	799	-9.24	0	0	1627	752	0	0	0	9
